birthyr,birthqtr,vetwwii,incwage,disabwrk1,disabwrk2
1928,4,0,19005,0,0
1926,3,1,13875,0,0
1926,3,1,18105,0,0
1924,3,1,0,0,0
1928,4,0,1105,1,1
1928,4,0,0,1,2
1928,4,0,12655,0,0
1926,3,0,20005,0,0
1926,4,0,20005,0,0
1924,4,0,7005,0,0
1926,3,0,27665,0,0
1924,3,1,23005,0,0
1924,3,1,15605,0,0
1924,4,1,11255,0,0
1928,4,0,4275,0,0
1924,3,1,25005,0,0
1926,4,0,0,1,2
1928,4,0,0,1,2
1926,3,1,0,0,0
1928,4,0,42005,0,0
1924,4,0,4515,0,0
1926,4,1,0,1,2
1924,4,1,10005,0,0
1928,3,0,0,1,2
1924,4,0,0,0,0
1928,3,0,25005,0,0
1926,3,0,10005,1,1
1928,4,0,17005,0,0
1928,3,0,15905,0,0
1924,4,1,13005,0,0
1924,3,1,16005,0,0
1928,3,0,14005,0,0
1928,4,0,13005,0,0
1926,4,1,22005,0,0
1928,4,0,0,0,0
1928,3,0,15605,0,0
1926,3,1,7865,0,0
1926,3,1,0,1,2
1928,4,0,8845,0,0
1928,4,0,0,1,2
1928,4,0,0,1,1
1926,4,1,0,0,0
1926,3,1,20005,0,0
1926,4,1,16005,0,0
1926,4,1,20005,0,0
1928,3,0,0,1,2
1928,4,0,0,1,2
1928,3,0,0,0,0
1924,3,0,4005,0,0
1924,3,1,585,1,2
1928,4,0,23575,0,0
1924,4,1,0,1,2
1924,4,0,6785,0,0
1926,4,1,30005,0,0
1926,3,1,58305,0,0
1926,3,1,23005,0,0
1928,3,0,605,1,1
1924,4,0,12005,0,0
1928,4,0,70205,0,0
1926,4,1,58835,0,0
1926,4,0,15005,0,0
1928,4,0,18005,0,0
1924,4,1,14505,0,0
1926,4,1,36005,0,0
1926,3,1,26005,1,1
1924,3,1,21505,1,1
1928,4,0,0,0,0
1928,3,0,25005,0,0
1928,3,0,26025,0,0
1928,3,0,8415,0,0
1928,3,0,0,1,2
1926,4,1,18005,0,0
1926,3,1,8005,0,0
1928,4,0,18325,0,0
1924,3,1,50005,0,0
1926,4,1,40005,0,0
1924,4,0,10925,0,0
1928,3,0,1105,0,0
1924,3,1,0,0,0
1924,4,0,3135,0,0
1926,3,1,5305,1,1
1928,3,1,23505,0,0
1924,4,1,16115,0,0
1926,3,1,40005,0,0
1926,4,1,8005,0,0
1924,4,1,0,1,1
1928,4,0,30005,0,0
1924,4,1,10005,0,0
1926,3,0,22205,0,0
1926,4,1,0,0,0
1924,3,0,29655,0,0
1926,3,0,8105,0,0
1926,3,1,0,0,0
1924,3,0,5765,0,0
1924,3,0,5005,0,0
1928,3,0,12005,0,0
1926,4,1,0,1,2
1924,4,1,6345,0,0
1924,3,0,0,1,2
1926,4,1,15805,0,0
1928,3,0,54005,0,0
1924,4,0,0,1,2
1928,3,0,28005,0,0
1926,3,0,9215,0,0
1926,4,0,6905,0,0
1926,4,1,30005,0,0
1926,4,0,2645,0,0
1926,3,1,36005,0,0
1924,3,0,5005,0,0
1924,4,1,49005,0,0
1926,3,1,69005,0,0
1924,4,1,30005,0,0
1924,4,1,47905,0,0
1926,3,0,47705,0,0
1928,3,0,10805,0,0
1928,3,0,12505,0,0
1928,4,0,31535,0,0
1924,3,1,0,0,0
1928,4,0,16505,0,0
1928,3,0,30005,0,0
1924,3,0,0,1,2
1926,3,1,2005,1,2
1926,4,0,13255,0,0
1924,4,1,0,1,1
1926,4,1,13945,0,0
1928,3,0,29005,0,0
1928,3,0,22005,1,2
1928,4,0,0,0,0
1924,4,0,13005,0,0
1926,4,1,12365,0,0
1926,4,1,27885,0,0
1926,3,1,47905,0,0
1926,3,1,7855,0,0
1926,4,1,26005,0,0
1928,3,0,40005,0,0
1926,3,1,42735,0,0
1928,3,0,10005,0,0
1924,3,1,0,0,0
1926,3,1,0,0,0
1926,4,1,13905,0,0
1928,3,1,4855,0,0
1924,3,1,13005,0,0
1926,4,0,14005,0,0
1928,4,0,2605,1,1
1928,3,1,21005,0,0
1928,3,0,0,0,0
1924,3,1,12185,0,0
1924,3,0,0,0,0
1926,4,1,30005,0,0
1926,3,1,22005,0,0
1926,3,0,9885,0,0
1928,4,0,21605,0,0
1928,4,0,0,1,2
1928,3,0,12005,1,1
1926,3,1,1005,1,1
1924,3,1,3305,0,0
1928,4,0,14005,0,0
1924,3,1,24005,0,0
1924,3,1,16005,0,0
1926,3,0,20005,0,0
1926,4,0,3505,0,0
1928,3,1,3505,1,2
1926,3,0,7805,0,0
1926,3,1,12605,0,0
1928,3,0,7585,0,0
1926,4,0,0,0,0
1924,3,1,29965,0,0
1924,4,1,30005,0,0
1924,3,1,5005,0,0
1928,4,0,6005,0,0
1926,3,0,0,1,2
1926,4,1,8675,0,0
1928,3,1,20005,0,0
1926,3,1,0,0,0
1926,3,1,8005,0,0
1926,4,0,24445,1,1
1924,3,1,4005,1,1
1928,4,1,11755,0,0
1926,3,0,6765,0,0
1924,4,0,13205,0,0
1924,4,1,0,1,1
1928,3,0,19005,0,0
1924,3,0,15085,0,0
1926,4,0,22365,0,0
1924,4,0,0,1,2
1924,4,1,0,1,2
1928,3,0,0,1,2
1926,3,1,38005,0,0
1928,4,0,8005,0,0
1924,3,1,0,0,0
1928,3,0,8005,0,0
1926,3,0,0,1,2
1926,4,0,8745,0,0
1924,4,0,9305,0,0
1926,4,0,13005,0,0
1926,3,0,10005,0,0
1924,3,0,50005,0,0
1924,3,1,17005,0,0
1928,4,0,0,0,0
1924,4,0,13835,0,0
1928,3,0,0,1,2
1924,4,1,23405,0,0
1928,4,0,7005,0,0
1926,3,1,17005,0,0
1928,4,0,8375,0,0
1928,4,0,0,1,2
1926,4,1,0,1,1
1926,4,1,11765,0,0
1926,3,0,24395,0,0
1928,3,0,13005,0,0
1924,3,1,24005,0,0
1928,3,0,0,0,0
1924,3,1,7805,0,0
1926,3,0,19505,0,0
1928,4,0,30805,0,0
1924,4,1,17985,0,0
1928,3,0,25005,0,0
1928,4,1,19245,0,0
1926,4,1,20875,0,0
1928,3,0,16165,0,0
1926,4,1,0,0,0
1924,4,1,17005,0,0
1926,3,1,20125,0,0
1924,3,1,26385,0,0
1928,3,0,0,1,1
1926,4,0,15005,0,0
1924,3,1,19005,1,1
1924,4,0,7005,0,0
1924,4,0,4005,0,0
1928,3,0,18205,0,0
1928,3,0,7505,0,0
1926,4,0,20005,0,0
1928,3,0,26005,0,0
1924,4,1,8275,1,1
1924,3,0,25005,0,0
1924,3,1,0,1,2
1924,3,0,15005,0,0
1926,3,1,21005,0,0
1926,3,1,18005,0,0
1926,3,0,0,1,2
1926,3,0,18005,0,0
1926,3,1,0,1,2
1924,3,1,0,0,0
1926,4,1,25005,0,0
1928,3,0,7805,0,0
1924,4,1,0,1,2
1928,3,0,19005,0,0
1924,4,1,17505,0,0
1928,4,1,17705,0,0
1924,3,1,17005,0,0
1926,3,1,35005,0,0
1924,3,1,9005,0,0
1924,3,1,7605,0,0
1928,3,0,9005,1,1
1924,3,0,9195,0,0
1928,4,1,21325,0,0
1924,4,0,5085,0,0
1928,4,0,10005,0,0
1924,3,0,24005,0,0
1924,4,0,65025,0,0
1924,3,1,18315,0,0
1924,4,1,10755,0,0
1924,3,1,16005,0,0
1926,3,0,7205,0,0
1924,3,1,15005,0,0
1928,4,0,0,0,0
1924,4,0,0,1,2
1926,3,1,10005,1,1
1926,3,1,16005,0,0
1926,3,0,8145,0,0
1928,4,0,18005,0,0
1926,3,1,73505,0,0
1924,3,1,30005,0,0
1928,4,0,0,0,0
1924,3,0,9005,0,0
1926,4,1,18205,0,0
1924,3,1,26525,0,0
1928,4,0,9885,0,0
1926,4,0,0,1,1
1928,3,0,7645,1,2
1926,4,1,2645,1,1
1926,4,0,0,0,0
1928,4,0,14775,0,0
1926,3,1,0,0,0
1924,3,1,14005,0,0
1928,4,0,0,1,2
1926,4,1,18425,0,0
1924,3,1,0,1,2
1928,4,0,8285,0,0
1926,4,0,15005,0,0
1928,3,0,0,1,2
1926,4,0,0,1,2
1926,3,0,3245,0,0
1928,3,1,23405,0,0
1924,3,1,0,1,2
1924,3,0,55205,1,1
1924,3,1,11005,0,0
1926,3,1,385,0,0
1924,4,1,16005,0,0
1928,4,0,13005,0,0
1928,4,1,51005,0,0
1928,4,0,20005,0,0
1926,4,1,20285,0,0
1926,3,1,20005,0,0
1924,4,1,48005,0,0
1924,3,0,0,0,0
1928,3,0,0,1,2
1928,4,0,10005,0,0
1924,3,1,15005,0,0
1924,4,1,0,0,0
1928,3,0,22005,0,0
1928,3,0,3275,0,0
1928,4,0,26005,0,0
1926,3,1,22395,0,0
1924,3,1,9055,0,0
1928,4,0,10005,0,0
1928,4,0,8925,0,0
1924,4,1,0,0,0
1924,3,1,12005,0,0
1926,4,0,0,0,0
1926,3,1,7005,0,0
1928,3,1,10925,0,0
1924,4,0,0,1,2
1926,4,1,18605,0,0
1926,3,1,40045,0,0
1928,3,0,24005,0,0
1928,4,0,0,0,0
1926,4,1,12005,0,0
1926,4,1,15155,0,0
1926,3,1,30005,0,0
1924,4,0,0,1,2
1926,4,0,0,0,0
1928,4,0,21545,0,0
1924,4,1,22005,0,0
1926,4,1,20005,0,0
1928,3,0,33655,0,0
1924,3,0,17605,0,0
1926,4,1,31005,0,0
1924,3,1,17005,0,0
1926,3,0,0,1,2
1928,4,0,13305,0,0
1924,3,1,18375,0,0
1924,4,1,0,0,0
1926,4,0,32775,0,0
1926,3,0,0,1,2
1926,4,0,16005,0,0
1928,4,0,0,1,2
1928,4,0,20005,0,0
1926,4,1,17915,0,0
1924,4,1,22005,1,1
1928,3,0,9885,1,1
1928,4,0,0,1,1
1926,4,1,0,0,0
1924,3,1,10005,0,0
1924,4,1,0,1,2
1924,3,0,14005,0,0
1926,3,1,205,0,0
1928,3,0,31935,0,0
1926,4,1,9205,0,0
1926,3,0,18005,0,0
1926,3,0,6765,1,1
1926,4,1,20005,0,0
1924,4,0,0,1,1
1928,3,0,3925,0,0
1926,3,1,14005,0,0
1928,3,0,21625,0,0
1928,4,1,29005,0,0
1926,3,1,24005,0,0
1926,4,1,28005,0,0
1926,4,0,9255,0,0
1926,3,1,19375,0,0
1926,3,0,39005,0,0
1928,3,1,19885,0,0
1928,4,0,12255,0,0
1926,3,1,20005,0,0
1928,3,0,1285,0,0
1928,4,0,13005,0,0
1926,3,1,25005,0,0
1928,4,0,0,1,2
1924,4,1,21985,0,0
1926,3,0,6505,0,0
1926,4,0,11335,0,0
1928,3,1,50005,0,0
1924,3,1,24915,1,1
1924,4,1,0,0,0
1926,3,0,28005,0,0
1926,4,1,58005,0,0
1928,4,0,23545,0,0
1924,4,1,42005,0,0
1928,3,1,34845,0,0
1926,4,1,25005,0,0
1926,3,1,25005,0,0
1926,4,1,17005,1,1
1924,4,1,21275,0,0
1928,3,0,21505,1,1
1928,3,0,20005,1,2
1924,3,0,0,1,2
1926,4,1,0,0,0
1924,3,1,14005,0,0
1926,4,1,7005,0,0
1928,4,0,20605,0,0
1926,4,1,30005,0,0
1928,3,0,0,1,2
1924,3,0,10005,0,0
1924,3,0,0,1,2
1928,4,0,2045,0,0
1928,3,0,20405,1,1
1924,4,1,30005,0,0
1924,3,1,0,1,2
1928,3,0,15705,0,0
1926,4,1,21275,0,0
1928,4,1,12665,0,0
1928,4,0,27005,1,1
1924,4,1,47235,0,0
1926,3,1,7205,0,0
1928,3,0,28705,0,0
1926,3,1,20005,0,0
1926,3,0,0,1,2
1928,4,0,25005,0,0
1928,4,0,18005,0,0
1924,4,1,20005,0,0
1924,4,1,1505,0,0
1926,4,1,7805,0,0
1926,3,1,14585,0,0
1924,3,0,3605,0,0
1924,3,0,1505,0,0
1928,4,1,21205,0,0
1928,4,1,13755,0,0
1928,3,0,63005,0,0
1928,3,0,13005,0,0
1924,4,0,16005,0,0
1924,3,1,12815,1,1
1926,3,0,10005,1,1
1924,4,0,26005,0,0
1928,3,0,21895,0,0
1924,3,1,20005,0,0
1926,3,1,30005,0,0
1928,3,0,11005,0,0
1926,4,1,9885,0,0
1928,3,0,45005,0,0
1924,3,1,16005,0,0
1926,4,1,0,0,0
1924,3,1,15525,0,0
1926,4,0,6005,0,0
1926,4,1,25695,0,0
1924,4,1,0,1,1
1926,4,1,12285,0,0
1926,3,0,27005,0,0
1926,4,1,16005,0,0
1928,3,0,20005,0,0
1926,4,1,30005,0,0
1926,4,1,10405,0,0
1924,4,1,0,0,0
1926,4,0,0,1,2
1928,4,0,0,0,0
1924,3,1,16125,0,0
1926,4,1,15005,0,0
1928,4,0,28005,0,0
1928,3,0,21305,0,0
1926,3,1,23005,0,0
1924,4,0,24005,0,0
1924,3,1,0,1,2
1924,3,1,31725,0,0
1924,3,1,75000,0,0
1928,4,1,48005,0,0
1926,4,1,23005,1,1
1926,3,1,24005,0,0
1928,4,0,17005,0,0
1928,4,0,75000,0,0
1924,3,0,16125,0,0
1928,4,0,25665,0,0
1924,3,1,17245,0,0
1928,3,0,17395,0,0
1926,3,1,2505,0,0
1924,4,1,3405,0,0
1928,3,0,7205,0,0
1926,3,0,0,0,0
1924,3,1,21005,0,0
1924,4,1,17005,1,1
1926,4,1,23005,0,0
1924,4,1,39005,0,0
1924,4,1,26605,0,0
1926,3,1,35005,0,0
1926,3,1,36305,0,0
1926,4,1,42005,0,0
1924,4,0,12535,0,0
1928,3,0,28825,0,0
1924,4,0,0,1,2
1926,4,1,30005,0,0
1928,4,0,31005,0,0
1928,3,0,38005,0,0
1924,3,1,36705,0,0
1924,4,1,10005,0,0
1924,3,1,20005,0,0
1924,4,1,32005,0,0
1924,3,1,12005,0,0
1924,4,0,0,1,2
1928,4,0,22005,0,0
1926,4,1,15005,0,0
1926,3,1,0,0,0
1928,4,1,0,1,2
1926,3,1,0,1,2
1924,4,0,0,0,0
1924,3,1,22615,0,0
1928,3,0,30645,0,0
1928,4,0,0,0,0
1928,4,0,16005,0,0
1928,4,0,26605,0,0
1926,3,0,23235,0,0
1928,3,0,27005,0,0
1928,4,1,75000,0,0
1926,4,1,15,0,0
1926,3,1,19105,0,0
1928,4,0,13005,0,0
1928,4,1,12005,0,0
1924,3,1,20005,0,0
1928,4,0,36265,0,0
1926,3,1,18705,0,0
1926,3,1,27005,0,0
1926,3,1,26005,0,0
1928,4,0,29545,0,0
1928,4,0,17005,0,0
1928,3,0,30005,0,0
1926,3,1,75000,0,0
1928,3,0,0,1,2
1926,4,0,24005,0,0
1924,3,1,17005,0,0
1924,4,1,21065,0,0
1924,3,1,20995,1,1
1924,4,0,6005,0,0
1928,3,0,11315,0,0
1924,4,1,30005,0,0
1926,4,0,4365,0,0
1928,4,1,15005,1,1
1924,3,0,1245,0,0
1928,3,0,4565,0,0
1928,3,1,30005,0,0
1924,3,1,13005,0,0
1926,3,1,20005,0,0
1924,4,1,0,1,1
1926,4,0,29005,0,0
1928,4,0,23005,0,0
1928,4,0,21325,0,0
1924,3,1,24135,0,0
1924,4,0,30005,0,0
1924,3,1,0,1,2
1926,4,1,8005,0,0
1928,4,1,17485,0,0
1928,3,1,25005,0,0
1924,3,1,36005,0,0
1928,3,0,56105,1,1
1926,4,1,8845,0,0
1924,3,1,14005,0,0
1924,3,0,0,1,2
1926,3,0,15005,0,0
1924,3,1,9385,1,1
1928,4,0,69005,0,0
1928,4,0,23005,0,0
1926,3,1,30685,0,0
1926,4,0,10965,0,0
1926,3,0,20005,0,0
1926,4,1,11885,1,2
1924,4,0,0,0,0
1924,3,0,2105,0,0
1924,3,0,0,0,0
1928,3,0,18005,1,1
1924,3,0,2505,1,1
1928,4,0,13005,0,0
1926,4,1,0,0,0
1928,4,1,9005,0,0
1928,4,0,17165,0,0
1924,4,1,15605,0,0
1924,3,1,29805,0,0
1924,4,1,11005,0,0
1928,3,0,1905,0,0
1924,4,0,4285,0,0
1924,3,1,17505,0,0
1926,4,1,13005,0,0
1924,4,0,0,1,2
1926,4,1,32005,0,0
1928,4,0,33805,0,0
1926,4,0,0,1,1
1924,3,1,28185,0,0
1924,4,1,18815,0,0
1926,3,1,20135,0,0
1924,4,1,17165,0,0
1924,4,1,8195,0,0
1924,4,1,29005,0,0
1928,4,0,18005,0,0
1928,4,0,18005,0,0
1924,4,1,35005,0,0
1924,3,0,74005,0,0
1928,3,0,14605,0,0
1924,3,1,41605,0,0
1926,4,0,28005,0,0
1926,3,0,0,1,2
1926,3,0,27405,0,0
1926,3,1,8005,1,2
1926,3,1,0,0,0
1928,4,0,0,1,1
1928,4,0,14005,0,0
1924,3,0,0,0,0
1928,4,0,12005,0,0
1928,4,0,29905,1,1
1928,4,0,16325,0,0
1926,3,0,2605,0,0
1926,4,1,11535,0,0
1926,4,1,16005,0,0
1926,4,1,15005,1,1
1926,4,1,5725,0,0
1924,4,1,27005,0,0
1924,4,1,17225,0,0
1924,3,0,0,1,2
1926,4,1,15005,0,0
1926,3,0,0,1,2
1926,3,1,24665,0,0
1926,4,1,20005,0,0
1926,4,0,7105,0,0
1926,4,0,0,1,2
1928,3,0,22255,0,0
1926,3,1,0,1,2
1926,3,1,27325,0,0
1926,4,1,0,1,2
